place,state,tags,avg_cost_per_day,trip_duration,best_for,season,climate,popularity
Indore,Madhya Pradesh,"food,heritage",1300,2,family,"oct,nov,dec,jan,feb,mar",Subtropical,High
Gwalior,Madhya Pradesh,heritage,1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Maheshwar,Madhya Pradesh,"heritage,river",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Amarkantak,Madhya Pradesh,"spiritual,nature,peaceful",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Panna National Park,Madhya Pradesh,"nature,safari",2100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Chitrakoot,Madhya Pradesh,"spiritual,nature,waterfalls",900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Fatehpur Sikri,Uttar Pradesh,heritage,1100,3,family,"oct,nov,dec,jan,feb,mar",Moderate,High
Jhansi,Uttar Pradesh,"heritage,history,culture",1000,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Naimisharanya,Uttar Pradesh,"spiritual,peaceful",800,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Vindhyachal,Uttar Pradesh,spiritual,900,3,family,"oct,nov,dec,jan,feb,mar",Moderate,Medium
Ganpatipule,Maharashtra,"beach,peaceful,offbeat",1400,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Ratnagiri,Maharashtra,"beach,heritage,offbeat",1300,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Marari Beach,Kerala,"beach,peaceful,offbeat",1800,3,couples,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Cherai Beach,Kerala,"beach,peaceful",1400,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Beypore,Kerala,"beach,heritage,offbeat",1200,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Kappad Beach,Kerala,"beach,heritage,offbeat",1200,3,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Kashid Beach,Maharashtra,"beach,peaceful,offbeat",1500,2,couples,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Diveagar,Maharashtra,"beach,peaceful,heritage",1400,2,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Srivardhan,Maharashtra,"beach,peaceful,offbeat",1300,2,family,"oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Harihareshwar,Maharashtra,"beach,spiritual,peaceful",1300,2,family,"oct,nov,dec,jan,feb,mar",Tropical,Medium
Velas,Maharashtra,"beach,nature,offbeat",1200,2,family,"feb,mar,apr",Tropical,Offbeat
Bastar,Chhattisgarh,"culture,nature,offbeat",1100,3,"offbeat,culture,nature","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Jagdalpur,Chhattisgarh,"waterfalls,nature,offbeat",1000,3,"nature,offbeat,waterfalls","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Dantewada,Chhattisgarh,"culture,offbeat",900,3,"offbeat,culture,spiritual","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Gopalpur,Odisha,"beach,peaceful,offbeat,heritage",1100,3,"peaceful,beach,offbeat","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Chandipur,Odisha,"beach,offbeat,nature",1000,3,"offbeat,nature,beach","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Bhitarkanika,Odisha,"nature",1500,3,"wildlife,nature,offbeat","oct,nov,dec,jan,feb",Moderate,Medium
Simlipal,Odisha,"nature,waterfalls",1600,3,"wildlife,nature,offbeat","nov,dec,jan,feb,mar",Moderate,Medium
Dehradun,Uttarakhand,"mountains,nature",1200,3,"family, couples","mar,apr,may,sep,oct,nov",Cold,Medium
