,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,region_nan,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
223,cartagena,-0.2735028312115413,-0.0247288077711355,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0.08037134713951817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
224,tayrona national park,-0.2735028312115413,-0.0247288077711355,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0.08037134713951817,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
225,salento & coffee region,-0.2735028312115413,-0.0247288077711355,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0.08037134713951817,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
226,quito,-0.2735028312115413,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0.08037134713951817,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
227,cuenca,-0.2735028312115413,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,-0.4758142779007483,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
228,galápagos islands,0.7231718521291811,1.9253143193241298,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1.5356930482993791,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
229,montevideo,0.17953111576151437,-0.0247288077711355,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
230,punta del este,0.17953111576151437,-0.0247288077711355,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231,colonia del sacramento,0.17953111576151437,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,-0.0811973819598993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
232,asunción,-0.2735028312115413,-0.9997503713187681,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-0.4758142779007483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,el chaltén,0.7231718521291811,0.9502927557764971,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1.2295732622435744,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
234,puerto natales & chilean fjords,0.7231718521291811,0.9502927557764971,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1.2295732622435744,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
235,lençóis maranhenses national park,0.17953111576151437,-0.0247288077711355,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
236,san diego,1.9010601142591257,0.9502927557764971,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1.7858131090844822,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237,santa barbara,2.2181838771402647,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1.5090542073640376,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
238,big sur,1.9916669036537369,-0.9997503713187681,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0.8696527639203042,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
239,death valley national park,1.3121159831941533,-0.9997503713187681,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0.5848099287955894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
240,joshua tree national park,1.0855990097076256,-0.9997503713187681,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,mammoth lakes,1.5386329566806813,-0.0247288077711355,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1.2427010642609555,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
242,arches national park,1.3121159831941533,-0.9997503713187681,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0.5848099287955894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
243,monument valley,1.3121159831941533,-1.9747719348664006,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,-0.36602043405171414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
244,park city,2.4447008506267927,0.9502927557764971,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1.9821287936998224,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
245,jackson hole,2.4447008506267927,0.9502927557764971,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1.9821287936998224,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
246,aspen,2.897734797599848,0.9502927557764971,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,2.1266701787074607,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,santa fe,1.7651499301672091,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,1.3373487527333014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
248,taos,1.5386329566806813,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0.6864718951470286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
249,white sands national park,1.0855990097076256,-1.9747719348664006,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,-0.4758142779007483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
250,antelope canyon,1.5386329566806813,-1.9747719348664006,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,-0.2643660039928396,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
251,charleston,1.7651499301672091,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1.3373487527333014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
252,key west,2.2181838771402647,-0.0247288077711355,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,1.5090542073640376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,orlando,1.9916669036537369,1.9253143193241298,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,2.1266701787074607,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
254,atlanta,1.3121159831941533,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,1.1410365855635594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
255,philadelphia,1.5386329566806813,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1.2427010642609555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
256,san antonio,1.3121159831941533,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1.1410365855635594,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
257,great smoky mountains,1.0855990097076256,0.9502927557764971,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,1.4258860156454796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
258,everglades national park,1.3121159831941533,-0.9997503713187681,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0.5848099287955894,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,acadia national park,1.5386329566806813,-0.0247288077711355,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1.2427010642609555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
260,asheville,1.5386329566806813,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1.2427010642609555,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
261,calgary,1.3121159831941533,-0.0247288077711355,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1.1410365855635594,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
262,halifax,1.1762057991022368,-0.0247288077711355,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1.0762132616205282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
263,st. john's,1.1762057991022368,-0.0247288077711355,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1.0762132616205282,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
264,tofino,1.7651499301672091,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1.3373487527333014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
265,kelowna,1.4480261672860701,-0.0247288077711355,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,1.202934679941452,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
266,churchill,2.4447008506267927,0.9502927557764971,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1.9821287936998224,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
267,whitehorse,1.3121159831941533,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1.1410365855635594,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
268,mont-tremblant,1.7651499301672091,-0.0247288077711355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1.3373487527333014,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
269,gros morne national park,1.0855990097076256,-0.0247288077711355,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1.0312310184889757,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
270,bay of fundy,1.0855990097076256,-0.9997503713187681,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
271,guadalajara,0.17953111576151437,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,1,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
272,merida,0.08892432636690323,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0.40464350119680087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
273,puerto escondido,-0.04698585772501346,0.9502927557764971,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0.6864718951470286,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
274,bacalar,0.17953111576151437,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
275,san cristobal de las casas,-0.04698585772501346,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0.29183050641794656,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
276,isla holbox,0.4060480892480422,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0.6365823720495318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
277,copper canyon,0.17953111576151437,0.9502927557764971,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0.8696527639203042,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
278,sayulita,0.27013790515612546,-0.0247288077711355,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0.5419375867350577,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
279,puebla,0.08892432636690323,-0.9997503713187681,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,-0.1515581655928738,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
280,monterrey,0.4060480892480422,-0.0247288077711355,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0.6365823720495318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
281,san ignacio,-0.04698585772501346,-0.0247288077711355,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0.29183050641794656,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
282,placencia,0.17953111576151437,0.9502927557764971,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0.8696527639203042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
283,semuc champey,-0.2735028312115413,-0.9997503713187681,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,-0.4758142779007483,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
284,tamarindo,0.4060480892480422,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1.0312310184889757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
285,puerto viejo,0.08892432636690323,-0.0247288077711355,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,1,0.40464350119680087,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
286,corcovado national park,0.63256506273457,-0.0247288077711355,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0.7811174062342662,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
287,san blas islands,0.4060480892480422,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0.6365823720495318,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
288,boquete,0.08892432636690323,-0.0247288077711355,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0.40464350119680087,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
289,el tunco,-0.2735028312115413,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0.08037134713951817,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
290,santa ana volcano,-0.2735028312115413,-1.9747719348664006,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,-1.4265215655494927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
291,santo domingo,0.17953111576151437,-0.0247288077711355,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0.4750072927622153,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
292,samana,0.4060480892480422,0.9502927557764971,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,1.0312310184889757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
293,oranjestad,1.9916669036537369,1.9253143193241298,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,2.1266701787074607,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
294,soufriere,2.4447008506267927,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1.9821287936998224,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
295,bridgetown,1.5386329566806813,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1.6373587832163443,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
296,providenciales,2.897734797599848,1.9253143193241298,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,2.4327962962413747,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
297,george town,2.67121782411332,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,2.0563021756044475,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
298,negril,1.0855990097076256,0.9502927557764971,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1.4258860156454796,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
299,ocho rios,1.0855990097076256,-0.0247288077711355,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1.0312310184889757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300,vieques,0.8590820362210978,-0.0247288077711355,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0.9118661268236556,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
