,place,avg_cost_per_day,trip_duration,popularity_High,popularity_Medium,popularity_Offbeat,popularity_Very High,adventure,beach,bird-watching,boating,camping,canyon,caves,culture,desert,food,forest,heritage,history,islands,lakes,luxury,mountains,nature,nightlife,offbeat,paragliding,peaceful,rafting,river,romantic,safari,skiing,spiritual,trekking,water-sports,waterfalls,apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep,couple,family,friends,solo,total_cost_log,region_Africa,region_Europe,region_Middle East,region_North America,region_Oceania,region_South Asia,region_Southeast Asia,climate_Alpine,climate_Cold,climate_Continental,climate_Dry,climate_Highland,climate_Mediterranean,climate_Subtropical,climate_Temperate,climate_Tropical,climate_nan
441,telluride,8500,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,10.146472946063877,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
442,colorado springs,6500,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,9.87822102528824,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
443,badlands national park,5500,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,9.305741456739435,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
444,mount rushmore,6000,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,9.392745258631441,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
445,mackinac island,7000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,9.546884034617925,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
446,cape cod,8000,4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,10.373522431293592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
447,newport,8500,2,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,9.741027444837728,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
448,shenandoah national park,5500,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,9.711176264112805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
449,st. augustine,6500,2,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,9.472781556562168,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
450,destin,7000,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,10.239995502805316,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
451,kauai,8500,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,10.657282884047461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
452,big island (kona),8200,5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,10.62135173563291,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
453,yoho national park,6500,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,9.472781556562168,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
454,kootenay national park,6000,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,9.392745258631441,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
455,algonquin provincial park,5500,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,9.711176264112805,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
456,thousand islands,6500,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,9.472781556562168,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
457,charlevoix,7000,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,9.546884034617925,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
458,cape breton island,6000,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,9.798182590890704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
459,saskatoon,5500,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,9.305741456739435,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
460,winnipeg,5800,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1,9.76428295481558,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
461,yellowknife,6500,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,1,1,9.87822102528824,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
462,isla mujeres,4500,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,9.510519035757246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
463,akumal,5000,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,9.61587214452889,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
464,mazatlán,3800,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,9.34145634983372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
465,zihuatanejo,4200,3,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,9.441531454869693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
466,la paz (baja california sur),4000,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,9.392745258631441,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
467,todos santos,4500,2,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,9.105090961257085,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
468,taxco,3500,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,8.853808274977197,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
469,palenque,3500,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,8.853808274977197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
470,valle de guadalupe,5500,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,9.305741456739435,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
471,ambergris caye,5000,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,9.90353755128617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
472,hopkins,3800,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,9.34145634983372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
473,rio dulce,3200,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,1,8.764209507142004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
474,copan ruinas,3000,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,8.699681400989514,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
475,utila,2800,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,9.32375833901174,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
476,leon,2800,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,8.630700432209832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
477,san juan del sur,3200,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,9.169622538697624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
478,santa teresa,4500,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,9.798182590890704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
479,nosara,5000,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,9.90353755128617,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
480,tortuguero national park,4200,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,9.036106025364846,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
481,rincon de la vieja,4000,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,8.987321812850125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
482,el valle de anton,3500,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,8.853808274977197,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
483,santa catalina,3200,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,9.169622538697624,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
484,vinales,2800,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,8.630700432209832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
485,trinidad,3000,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,8.699681400989514,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
486,varadero,4000,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,9.680406499268875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
487,exuma,8500,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,10.434145214930487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
488,puerto plata,4200,3,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,9.441531454869693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
489,las terrenas,4500,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,9.510519035757246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
490,rincon,4000,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,9.392745258631441,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
491,culebra,4500,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,9.105090961257085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
492,st. thomas,7500,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,1,0,10.021315031649332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
493,st. john,8500,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,10.434145214930487,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
494,tortola,9000,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,10.203629181337648,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
495,st. martin,7000,4,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,10.239995502805316,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
496,st. barts,12000,3,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,10.491301994830229,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
497,antigua,7500,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,10.308985993422082,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
498,curacao,6000,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,10.085850775128717,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
499,bonaire,5500,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,9.99884318585288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
500,grenada,6000,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,9.798182590890704,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
501,minca,3200,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,8.764209507142004,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
502,san gil,3000,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,9.105090961257085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
503,guatape,3500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,8.160803920954665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
504,leticia,3800,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,9.34145634983372,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
505,cotopaxi national park,3500,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,8.853808274977197,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
506,quilotoa loop,3000,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,9.105090961257085,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
507,mindo,3200,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,8.764209507142004,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
508,montanita,3000,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,9.105090961257085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
509,paracas,3500,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,8.853808274977197,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
510,chachapoyas,3200,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,9.169622538697624,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
511,colca canyon,3500,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,8.853808274977197,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
512,rurrenabaque,3000,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,9.105090961257085,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
513,copacabana,2800,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,8.630700432209832,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
514,elqui valley,4000,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,8.987321812850125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
515,chiloe island,4200,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,9.441531454869693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
516,puerto varas,4500,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,9.510519035757246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
517,purmamarca & tilcara,3500,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,8.853808274977197,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
518,san martin de los andes,4500,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,9.510519035757246,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
519,villa la angostura,5000,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,9.210440366976517,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
520,tigre,3800,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,0,8.24301946898925,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
521,buzios,5500,3,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,9.711176264112805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
522,gramado,5000,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,9.61587214452889,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
523,chapada dos veadeiros,4000,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,9.680406499268875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
524,alter do chao,3500,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,9.259225769705994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
525,pipa,4200,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,9.441531454869693,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
526,morro de sao paulo,4500,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,9.510519035757246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
527,curitiba,3800,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,8.936035096566041,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
