place,state,tags,avg_cost_per_day,trip_duration,best_for,season,climate,popularity
Malana,Himachal Pradesh,"mountains,offbeat,tribal,trekking",900,5,"offbeat,trekking,adventure","may,jun,jul,aug,sep",Cold,Offbeat
Sangla Valley,Himachal Pradesh,"mountains,offbeat,nature,scenic",1400,3,"offbeat,nature,photographers","apr,may,jun,sep,oct",Cold,Offbeat
Chitkul,Himachal Pradesh,"mountains,offbeat,last-village,scenic",1300,3,"offbeat,adventure,photographers","may,jun,jul,aug,sep",Cold,Offbeat
Pithoragarh,Uttarakhand,"mountains,offbeat,nature,trekking",1100,5,"offbeat,trekking,nature","mar,apr,may,jun,sep,oct",Cold,Offbeat
Munsiyari,Uttarakhand,"mountains,offbeat,trekking,snow",1200,5,"trekking,offbeat,nature","mar,apr,may,sep,oct",Cold,Offbeat
Chaukori,Uttarakhand,"mountains,offbeat,tea,peaceful",1100,3,"peaceful,offbeat,nature","mar,apr,may,jun,sep,oct",Cold,Offbeat
Pangot,Uttarakhand,"mountains,nature,bird-watching,offbeat",1200,3,"bird-watching,nature,peaceful","mar,apr,may,sep,oct,nov",Cold,Offbeat
Abbott Mount,Uttarakhand,"mountains,offbeat,colonial,peaceful",1100,3,"offbeat,peaceful,nature","mar,apr,may,jun,sep,oct",Cold,Offbeat
Bhandardara,Maharashtra,"mountains,lakes,waterfalls,weekend",1300,2,"weekend,nature,camping","jun,jul,aug,sep,oct",Cold,Medium
Amboli,Maharashtra,"mountains,waterfalls,offbeat,nature",1200,3,"nature,offbeat,monsoon","jun,jul,aug,sep",Cold,Offbeat
Chikhaldara,Maharashtra,"mountains,offbeat,nature,wildlife",1100,3,"offbeat,nature,families","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Toranmal,Maharashtra,"mountains,offbeat,tribal,nature",1000,3,"offbeat,nature,peaceful","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Khandala,Maharashtra,"mountains,waterfalls,weekend,scenic",1500,2,"weekend,families,couples","jun,jul,aug,sep,oct",Cold,Medium
Jim Corbett,Uttarakhand,"wildlife,tigers,nature,safari",2500,3,"wildlife,families,nature","nov,dec,jan,feb,mar,apr,may",Moderate,Medium
Pench National Park,Maharashtra,"wildlife,tigers,nature,safari",2200,3,"wildlife,nature,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Tadoba,Maharashtra,"wildlife,tigers,nature,safari",2400,3,"wildlife,photographers,nature","oct,nov,dec,jan,feb,mar",Moderate,Medium
Nagarhole,India,"wildlife,elephants,nature,safari",2300,3,"wildlife,nature,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Periyar,Kerala,"wildlife,nature,elephants,spices",1600,3,"wildlife,nature,families","sep,oct,nov,dec,jan,feb,mar",Tropical,Medium
Dudhwa National Park,Uttar Pradesh,"wildlife,tigers,nature,offbeat",2000,3,"wildlife,offbeat,nature","nov,dec,jan,feb,mar",Moderate,Offbeat
Bharatpur,Rajasthan,"wildlife,birds,unesco,nature",1500,3,"bird-watching,nature,families","oct,nov,dec,jan,feb",Moderate,High
Sariska,Rajasthan,"wildlife,tigers,nature,safari",2000,3,"wildlife,families,weekend","oct,nov,dec,jan,feb,mar",Moderate,Medium
Ponmudi,Kerala,"mountains,nature,offbeat,scenic",1300,3,"offbeat,nature,couples","sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Nelliampathy,Kerala,"mountains,nature,offbeat,tea",1200,3,"offbeat,nature,peaceful","sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Devikulam,Kerala,"mountains,nature,tea,offbeat",1400,3,"offbeat,nature,couples","sep,oct,nov,dec,jan,feb,mar",Cold,Offbeat
Idukki,Kerala,"mountains,dam,nature,scenic",1300,3,"nature,families,scenic","sep,oct,nov,dec,jan,feb,mar",Cold,Medium
Silent Valley,Kerala,"nature,rainforest,wildlife,offbeat",1500,3,"nature,offbeat,wildlife","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Yelagiri,Tamil Nadu,"mountains,nature,adventure,offbeat",1200,5,"offbeat,families,adventure","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Valparai,Tamil Nadu,"mountains,tea,wildlife,offbeat",1400,3,"offbeat,nature,wildlife","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Kolli Hills,Tamil Nadu,"mountains,offbeat,nature,trekking",1100,5,"offbeat,trekking,nature","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Agumbe,Karnataka,"mountains,rainforest,waterfalls,offbeat",1300,3,"offbeat,nature,monsoon","jun,jul,aug,sep",Cold,Offbeat
Kudremukh,Karnataka,"mountains,trekking,nature,offbeat",1200,5,"trekking,nature,offbeat","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Bandipur,Karnataka,"wildlife,nature,safari,tigers",2200,3,"wildlife,families,nature","oct,nov,dec,jan,feb,mar",Moderate,Medium
BR Hills,Karnataka,"mountains,wildlife,nature,offbeat",1500,3,"wildlife,offbeat,nature","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Talakona,Andhra Pradesh,"waterfalls,nature,trekking,offbeat",1100,5,"nature,trekking,offbeat","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Barmer,Rajasthan,"desert,culture,offbeat,handicrafts",1100,3,"offbeat,culture,heritage","oct,nov,dec,jan,feb",Arid,Offbeat
Osian,Rajasthan,"desert,temples,camels,offbeat",1200,3,"offbeat,heritage,desert","oct,nov,dec,jan,feb",Arid,Offbeat
Sikar,Rajasthan,"heritage,havelis,offbeat,art",1000,3,"heritage,offbeat,art","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Mandawa,Rajasthan,"heritage,havelis,art,culture",1100,3,"heritage,art,culture","oct,nov,dec,jan,feb,mar",Moderate,Medium
Nawalgarh,Rajasthan,"heritage,havelis,art,offbeat",1000,3,"heritage,offbeat,art","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Champaner,Gujarat,"heritage,unesco,ruins,offbeat",1100,3,"heritage,offbeat,history","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Patan,Gujarat,"heritage,step-well,unesco,textiles",1000,3,"heritage,art,textiles","oct,nov,dec,jan,feb,mar",Moderate,High
Dholavira,Gujarat,"heritage,ruins,harappan,unesco",1200,3,"heritage,history,offbeat","oct,nov,dec,jan,feb",Moderate,High
Junagadh,Gujarat,"heritage,lions,temples,forts",1100,3,"heritage,wildlife,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Porbandar,Gujarat,"heritage,beach,gandhi,history",1200,3,"heritage,beach,history","oct,nov,dec,jan,feb,mar",Tropical,Medium
Bhopal,Madhya Pradesh,"city,lakes,heritage,culture",1200,2,"heritage,families,business","oct,nov,dec,jan,feb,mar",Subtropical,High
Indore,Madhya Pradesh,"city,food,heritage,business",1300,2,"food,business,families","oct,nov,dec,jan,feb,mar",Subtropical,High
Gwalior,Madhya Pradesh,"heritage,forts,palaces,music",1100,3,"heritage,families,music","oct,nov,dec,jan,feb,mar",Moderate,Medium
Maheshwar,Madhya Pradesh,"heritage,temples,river,textiles",1000,3,"heritage,spiritual,textiles","oct,nov,dec,jan,feb,mar",Moderate,Medium
Amarkantak,Madhya Pradesh,"spiritual,nature,temples,peaceful",1000,3,"spiritual,nature,peaceful","oct,nov,dec,jan,feb,mar",Moderate,Medium
Panna National Park,Madhya Pradesh,"wildlife,tigers,nature,safari",2100,3,"wildlife,nature,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Chitrakoot,Madhya Pradesh,"spiritual,temples,nature,waterfalls",900,3,"spiritual,nature,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Fatehpur Sikri,Uttar Pradesh,"heritage,mughal,unesco,architecture",1100,3,"heritage,architecture,families","oct,nov,dec,jan,feb,mar",Moderate,High
Jhansi,Uttar Pradesh,"heritage,forts,history,culture",1000,3,"heritage,history,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Naimisharanya,Uttar Pradesh,"spiritual,temples,pilgrimage,peaceful",800,3,"spiritual,pilgrims,peaceful","oct,nov,dec,jan,feb,mar",Moderate,Medium
Vindhyachal,Uttar Pradesh,"spiritual,temples,pilgrimage,goddess",900,3,"spiritual,pilgrims,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Ganpatipule,Maharashtra,"beach,temples,peaceful,offbeat",1400,3,"peaceful,spiritual,beach","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Ratnagiri,Maharashtra,"beach,heritage,mangoes,offbeat",1300,3,"offbeat,beach,heritage","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Marari Beach,Kerala,"beach,peaceful,backwaters,offbeat",1800,3,"peaceful,couples,beach","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Cherai Beach,Kerala,"beach,backwaters,dolphins,peaceful",1400,3,"families,beach,nature","oct,nov,dec,jan,feb,mar",Tropical,Medium
Beypore,Kerala,"beach,heritage,shipbuilding,offbeat",1200,3,"offbeat,heritage,beach","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Kappad Beach,Kerala,"beach,heritage,historic,offbeat",1200,3,"heritage,beach,offbeat","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Kashid Beach,Maharashtra,"beach,peaceful,weekend,scenic",1500,2,"weekend,couples,beach","oct,nov,dec,jan,feb,mar",Tropical,Medium
Malpe Beach,Karnataka,"beach,islands,water-sports,offbeat",1300,3,"water-sports,beach,families","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Aizawl,North East,"mountains,culture,offbeat,scenic",1200,6,"offbeat,culture,nature","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Imphal,North East,"heritage,war-memorial,culture,offbeat",1300,6,"heritage,culture,offbeat","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Loktak Lake,North East,"nature,floating-islands,unique,offbeat",1200,6,"nature,offbeat,photographers","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Bhalukpong,North East,"nature,adventure,rafting,offbeat",1300,5,"adventure,nature,offbeat","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Bomdila,North East,"mountains,monasteries,nature,offbeat",1400,6,"offbeat,nature,spiritual","mar,apr,may,sep,oct",Cold,Offbeat
Pasighat,North East,"nature,adventure,offbeat,tribal",1200,5,"offbeat,adventure,nature","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Mokokchung,North East,"culture,tribal,offbeat,festivals",1100,6,"offbeat,culture,festivals","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Unakoti,North East,"heritage,rock-carvings,offbeat,temples",1000,6,"heritage,offbeat,art","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Agartala,North East,"heritage,palaces,culture,offbeat",1200,6,"heritage,culture,offbeat","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Namchi,North East,"mountains,statues,monasteries,scenic",1400,6,"spiritual,scenic,families","mar,apr,may,sep,oct,nov",Cold,Medium
Ravangla,North East,"mountains,monasteries,nature,peaceful",1300,6,"peaceful,nature,spiritual","mar,apr,may,sep,oct,nov",Cold,Medium
Yuksom,North East,"mountains,trekking,monasteries,offbeat",1200,5,"trekking,offbeat,nature","mar,apr,may,sep,oct",Cold,Offbeat
Kozhikode,Kerala,"heritage,beach,food,history",1300,3,"heritage,food,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Thrissur,Kerala,"culture,temples,festivals,heritage",1200,3,"culture,festivals,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Palakkad,Kerala,"heritage,forts,nature,offbeat",1100,3,"heritage,nature,offbeat","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Mangalore,Karnataka,"beach,temples,food,coast",1300,3,"beach,food,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Manipal,Karnataka,"city,education,beaches,youth",1200,2,"students,youth,beach","oct,nov,dec,jan,feb,mar",Subtropical,High
Chikkaballapur,Karnataka,"mountains,trekking,offbeat,nature",1000,5,"trekking,offbeat,weekend","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Nandi Hills,Karnataka,"mountains,sunrise,cycling,weekend",1200,2,"weekend,cycling,families","sep,oct,nov,dec,jan,feb,mar",Cold,Medium
Horsley Hills,Andhra Pradesh,"mountains,nature,peaceful,offbeat",1100,3,"peaceful,offbeat,nature","oct,nov,dec,jan,feb,mar",Cold,Offbeat
Lepakshi,Andhra Pradesh,"heritage,temples,art,architecture",900,3,"heritage,art,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Kumbakonam,Tamil Nadu,"temples,heritage,spiritual,culture",1000,3,"spiritual,heritage,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Chidambaram,Tamil Nadu,"temples,spiritual,heritage,culture",1000,3,"spiritual,heritage,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Tirunelveli,Tamil Nadu,"temples,heritage,food,culture",1100,3,"heritage,food,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Kanchipuram,Tamil Nadu,"temples,silk,heritage,spiritual",1100,3,"spiritual,shopping,heritage","oct,nov,dec,jan,feb,mar",Tropical,Medium
Vellore,Tamil Nadu,"heritage,forts,temples,education",1000,3,"heritage,families,students","oct,nov,dec,jan,feb,mar",Tropical,Medium
Tiruvannamalai,Tamil Nadu,"spiritual,temples,trekking,pilgrimage",1000,5,"spiritual,trekking,pilgrims","oct,nov,dec,jan,feb,mar",Tropical,Medium
Tanjore,Tamil Nadu,"heritage,temples,art,music",1000,3,"heritage,art,families","oct,nov,dec,jan,feb,mar",Tropical,Medium
Dindigul,Tamil Nadu,"heritage,forts,food,offbeat",900,3,"offbeat,food,heritage","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Hamirpur,Himachal Pradesh,"heritage,temples,offbeat,nature",1000,3,"offbeat,nature,heritage","mar,apr,may,jun,sep,oct",Moderate,Offbeat
Una,Himachal Pradesh,"heritage,nature,offbeat,peaceful",1000,3,"offbeat,peaceful,nature","mar,apr,may,jun,sep,oct",Moderate,Offbeat
Bilaspur HP,Himachal Pradesh,"heritage,lakes,nature,offbeat",1100,3,"offbeat,nature,families","mar,apr,may,jun,sep,oct",Moderate,Offbeat
Deogarh,Rajasthan,"heritage,palaces,lakes,offbeat",1200,3,"heritage,offbeat,luxury","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Dungarpur,Rajasthan,"heritage,palaces,lakes,offbeat",1100,3,"heritage,offbeat,peaceful","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Jhalawar,Rajasthan,"heritage,forts,waterfalls,offbeat",1000,3,"heritage,offbeat,nature","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Sawai Madhopur,Rajasthan,"wildlife,forts,heritage,tigers",1800,3,"wildlife,heritage,families","oct,nov,dec,jan,feb,mar",Moderate,Medium
Mirik,West Bengal,"mountains,lakes,tea,peaceful",1200,3,"peaceful,nature,couples","mar,apr,may,sep,oct,nov",Cold,Medium
Kurseong,West Bengal,"mountains,tea,toy-train,peaceful",1100,3,"peaceful,nature,offbeat","mar,apr,may,sep,oct,nov",Cold,Medium
Sandakphu,West Bengal,"mountains,trekking,snow,adventure",1500,5,"trekking,adventure,nature","apr,may,oct,nov",Cold,Medium
Purulia,West Bengal,"heritage,masks,culture,offbeat",900,3,"offbeat,culture,heritage","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Bishnupur WB,West Bengal,"heritage,temples,terracotta,art",1000,3,"heritage,art,offbeat","oct,nov,dec,jan,feb,mar",Moderate,Medium
Sirpur,Chhattisgarh,"heritage,ruins,buddhist,offbeat",900,3,"heritage,offbeat,history","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Bastar,Chhattisgarh,"tribal,culture,nature,offbeat",1100,3,"offbeat,culture,nature","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Jagdalpur,Chhattisgarh,"waterfalls,tribal,nature,offbeat",1000,3,"nature,offbeat,waterfalls","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Dantewada,Chhattisgarh,"tribal,culture,temples,offbeat",900,3,"offbeat,culture,spiritual","oct,nov,dec,jan,feb,mar",Moderate,Offbeat
Gopalpur,Odisha,"beach,peaceful,offbeat,heritage",1100,3,"peaceful,beach,offbeat","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Chandipur,Odisha,"beach,unique,offbeat,nature",1000,3,"offbeat,nature,beach","oct,nov,dec,jan,feb,mar",Tropical,Offbeat
Bhitarkanika,Odisha,"wildlife,mangroves,crocodiles,nature",1500,3,"wildlife,nature,offbeat","oct,nov,dec,jan,feb",Moderate,Medium
Simlipal,Odisha,"wildlife,nature,waterfalls,tigers",1600,3,"wildlife,nature,offbeat","nov,dec,jan,feb,mar",Moderate,Medium
Dehradun,Uttarakhand,"mountains,education,nature,city",1400,2,"families,students,nature","mar,apr,may,jun,sep,oct,nov",Cold,High
Naukuchiatal,Uttarakhand,"mountains,lakes,nature,peaceful",1200,3,"peaceful,nature,couples","mar,apr,may,jun,sep,oct",Cold,Medium
Bhimtal,Uttarakhand,"mountains,lakes,nature,peaceful",1200,3,"families,nature,peaceful","mar,apr,may,jun,sep,oct",Cold,Medium
Sattal,Uttarakhand,"mountains,lakes,birds,nature",1300,3,"nature,bird-watching,peaceful","mar,apr,may,jun,sep,oct",Cold,Medium
